Season,RoundNumber,RaceName,Team,AvgQualifyingPos,AvgRaceFinishPos,TotalRacePoints,NumDrivers
2018,1,Australian Grand Prix,Alpine/Renault,8.5,8.5,7.0,2
2018,1,Australian Grand Prix,Aston Martin/Racing Point/Force India,14.0,11.5,0.0,2
2018,1,Australian Grand Prix,Ferrari,2.5,2.0,40.0,2
2018,1,Australian Grand Prix,Haas,6.5,16.5,0.0,2
2018,1,Australian Grand Prix,McLaren,11.5,7.0,12.0,2
2018,1,Australian Grand Prix,Mercedes,5.5,5.0,22.0,2
2018,1,Australian Grand Prix,RB/AlphaTauri/Toro Rosso,18.0,16.5,0.0,2
2018,1,Australian Grand Prix,Red Bull Racing,4.5,5.0,20.0,2
2018,1,Australian Grand Prix,Sauber/Alfa Romeo,17.5,16.0,0.0,2
2018,1,Australian Grand Prix,Williams,16.5,17.0,0.0,2
2018,2,Bahrain Grand Prix,Alpine/Renault,9.0,8.5,8.0,2
2018,2,Bahrain Grand Prix,Aston Martin/Racing Point/Force India,10.5,13.0,1.0,2
2018,2,Bahrain Grand Prix,Ferrari,1.5,9.5,25.0,2
2018,2,Bahrain Grand Prix,Haas,11.5,9.0,10.0,2
2018,2,Bahrain Grand Prix,McLaren,13.5,7.5,10.0,2
2018,2,Bahrain Grand Prix,Mercedes,3.5,2.5,33.0,2
2018,2,Bahrain Grand Prix,RB/AlphaTauri/Toro Rosso,8.5,10.5,12.0,2
2018,2,Bahrain Grand Prix,Red Bull Racing,10.0,19.5,0.0,2
2018,2,Bahrain Grand Prix,Sauber/Alfa Romeo,18.0,10.5,2.0,2
2018,2,Bahrain Grand Prix,Williams,19.0,14.5,0.0,2
2018,3,Chinese Grand Prix,Alpine/Renault,8.0,7.5,10.0,2
2018,3,Chinese Grand Prix,Aston Martin/Racing Point/Force India,10.0,11.5,0.0,2
2018,3,Chinese Grand Prix,Ferrari,1.5,5.5,19.0,2
2018,3,Chinese Grand Prix,Haas,10.5,13.5,1.0,2
2018,3,Chinese Grand Prix,McLaren,13.5,10.0,6.0,2
2018,3,Chinese Grand Prix,Mercedes,3.5,3.0,30.0,2
2018,3,Chinese Grand Prix,RB/AlphaTauri/Toro Rosso,16.0,19.0,0.0,2
2018,3,Chinese Grand Prix,Red Bull Racing,5.5,3.0,35.0,2
2018,3,Chinese Grand Prix,Sauber/Alfa Romeo,19.5,17.5,0.0,2
2018,3,Chinese Grand Prix,Williams,17.0,14.5,0.0,2
2018,4,Azerbaijan Grand Prix,Alpine/Renault,9.5,11.5,10.0,2
2018,4,Azerbaijan Grand Prix,Aston Martin/Racing Point/Force India,7.5,11.0,15.0,2
2018,4,Azerbaijan Grand Prix,Ferrari,3.5,3.0,30.0,2
2018,4,Azerbaijan Grand Prix,Haas,17.5,14.0,0.0,2
2018,4,Azerbaijan Grand Prix,McLaren,14.5,8.0,8.0,2
2018,4,Azerbaijan Grand Prix,Mercedes,2.5,7.5,25.0,2
2018,4,Azerbaijan Grand Prix,RB/AlphaTauri/Toro Rosso,18.0,11.0,1.0,2
2018,4,Azerbaijan Grand Prix,Red Bull Racing,4.5,16.5,0.0,2
2018,4,Azerbaijan Grand Prix,Sauber/Alfa Romeo,16.0,8.5,8.0,2
2018,4,Azerbaijan Grand Prix,Williams,11.5,14.0,4.0,2
2018,5,Spanish Grand Prix,Alpine/Renault,12.5,13.5,6.0,2
2018,5,Spanish Grand Prix,Aston Martin/Racing Point/Force India,14.0,12.5,2.0,2
2018,5,Spanish Grand Prix,Ferrari,3.5,10.5,12.0,2
2018,5,Spanish Grand Prix,Haas,8.5,12.0,8.0,2
2018,5,Spanish Grand Prix,McLaren,9.5,11.5,4.0,2
2018,5,Spanish Grand Prix,Mercedes,1.5,1.5,43.0,2
2018,5,Spanish Grand Prix,RB/AlphaTauri/Toro Rosso,16.0,15.5,0.0,2
2018,5,Spanish Grand Prix,Red Bull Racing,5.5,4.0,25.0,2
2018,5,Spanish Grand Prix,Sauber/Alfa Romeo,15.5,11.5,1.0,2
2018,5,Spanish Grand Prix,Williams,18.5,12.5,0.0,2
2018,6,Monaco Grand Prix,Alpine/Renault,9.5,9.0,5.0,2
2018,6,Monaco Grand Prix,Aston Martin/Racing Point/Force India,7.5,9.0,8.0,2
2018,6,Monaco Grand Prix,Ferrari,3.0,3.0,30.0,2
2018,6,Monaco Grand Prix,Haas,17.0,14.0,0.0,2
2018,6,Monaco Grand Prix,McLaren,9.5,17.0,0.0,2
2018,6,Monaco Grand Prix,Mercedes,4.0,4.0,25.0,2
2018,6,Monaco Grand Prix,RB/AlphaTauri/Toro Rosso,13.0,13.0,6.0,2
2018,6,Monaco Grand Prix,Red Bull Racing,10.5,5.0,27.0,2
2018,6,Monaco Grand Prix,Sauber/Alfa Romeo,15.5,14.5,0.0,2
2018,6,Monaco Grand Prix,Williams,15.5,16.5,0.0,2
2018,7,Canadian Grand Prix,Alpine/Renault,8.0,7.5,10.0,2
2018,7,Canadian Grand Prix,Aston Martin/Racing Point/Force India,9.0,11.5,2.0,2
2018,7,Canadian Grand Prix,Ferrari,3.0,3.5,33.0,2
2018,7,Canadian Grand Prix,Haas,15.5,12.5,0.0,2
2018,7,Canadian Grand Prix,McLaren,14.5,17.0,0.0,2
2018,7,Canadian Grand Prix,Mercedes,3.0,3.5,28.0,2
2018,7,Canadian Grand Prix,RB/AlphaTauri/Toro Rosso,14.0,15.0,0.0,2
2018,7,Canadian Grand Prix,Red Bull Racing,4.5,3.5,27.0,2
2018,7,Canadian Grand Prix,Sauber/Alfa Romeo,16.0,12.5,1.0,2
2018,7,Canadian Grand Prix,Williams,17.5,18.5,0.0,2
2018,8,French Grand Prix,Alpine/Renault,9.5,8.5,6.0,2
2018,8,French Grand Prix,Aston Martin/Racing Point/Force India,12.0,18.5,0.0,2
2018,8,French Grand Prix,Ferrari,4.5,4.0,25.0,2
2018,8,French Grand Prix,Haas,9.5,8.5,8.0,2
2018,8,French Grand Prix,McLaren,17.0,14.0,0.0,2
2018,8,French Grand Prix,Mercedes,1.5,4.0,31.0,2
2018,8,French Grand Prix,RB/AlphaTauri/Toro Rosso,15.5,17.0,0.0,2
2018,8,French Grand Prix,Red Bull Racing,4.5,3.0,30.0,2
2018,8,French Grand Prix,Sauber/Alfa Romeo,11.5,11.5,1.0,2
2018,8,French Grand Prix,Williams,19.5,16.0,0.0,2
2018,9,Austrian Grand Prix,Alpine/Renault,9.5,16.0,0.0,2
2018,9,Austrian Grand Prix,Aston Martin/Racing Point/Force India,14.0,6.5,14.0,2
2018,9,Austrian Grand Prix,Ferrari,3.5,2.5,33.0,2
2018,9,Austrian Grand Prix,Haas,7.0,4.5,22.0,2
2018,9,Austrian Grand Prix,McLaren,15.0,11.5,4.0,2
