Season,Team,NumRaces,MeanQualifyingPos,MeanRaceFinishPos,StdQualifyingPos,StdRaceFinishPos,QualRaceCorrelation,QualRaceCorr_pValue,PositionChange_Mean,PositionChange_Std,TotalPoints,PointsPerRace
2018,Mercedes,21,3.0,3.86,1.7,3.43,-0.1691,0.4636,-0.86,4.08,655.0,31.19
2018,Ferrari,21,3.24,4.93,1.21,3.08,-0.0791,0.7331,-1.69,3.39,571.0,27.19
2018,Red Bull Racing,21,6.88,7.64,2.76,4.7,0.2856,0.2094,-0.76,4.72,419.0,19.95
2018,Alpine/Renault,21,10.57,11.07,2.6,3.01,0.7138,0.0003,-0.5,2.16,122.0,5.81
2018,Aston Martin/Racing Point/Force India,21,10.69,11.19,3.28,3.5,0.1928,0.4025,-0.5,4.31,111.0,5.29
2018,Haas,21,10.29,11.98,3.62,3.83,0.3443,0.1265,-1.69,4.27,93.0,4.43
2018,McLaren,21,15.07,12.76,2.72,3.16,0.3897,0.0807,2.31,3.27,62.0,2.95
2018,Sauber/Alfa Romeo,21,14.02,12.79,3.36,2.95,0.2561,0.2624,1.24,3.87,48.0,2.29
2018,RB/AlphaTauri/Toro Rosso,21,14.1,13.88,3.32,2.95,0.519,0.0159,0.21,3.09,33.0,1.57
2018,Williams,21,17.14,14.9,2.38,2.25,0.1891,0.4116,2.24,2.95,7.0,0.33
2019,Mercedes,21,2.64,3.24,1.1,3.32,0.1998,0.3851,-0.6,3.28,739.0,35.19
2019,Ferrari,21,4.19,6.0,3.18,4.1,0.2677,0.2407,-1.81,4.47,504.0,24.0
2019,Red Bull Racing,21,6.6,6.26,3.26,2.47,0.3893,0.0811,0.33,3.23,417.0,19.86
2019,McLaren,21,9.86,10.69,2.79,3.77,0.3424,0.1286,-0.83,3.85,145.0,6.9
2019,RB/AlphaTauri/Toro Rosso,21,12.71,11.5,2.21,3.23,0.014,0.9518,1.21,3.88,85.0,4.05
2019,Aston Martin/Racing Point/Force India,21,14.5,11.79,2.35,2.66,0.5214,0.0154,2.71,2.46,73.0,3.48
2019,Alpine/Renault,21,10.76,11.98,3.04,3.82,0.61,0.0033,-1.21,3.11,91.0,4.33
2019,Sauber/Alfa Romeo,21,12.67,12.74,2.55,2.94,0.4437,0.0439,-0.07,2.91,57.0,2.71
2019,Haas,21,11.81,14.4,3.32,3.06,0.538,0.0119,-2.6,3.07,28.0,1.33
2019,Williams,21,18.9,16.4,0.75,1.85,0.2351,0.3049,2.5,1.83,1.0,0.05
2020,Mercedes,17,2.0,3.74,1.46,2.8,0.2793,0.2776,-1.74,2.77,573.0,33.71
2020,Red Bull Racing,17,5.15,7.71,1.95,4.96,-0.0017,0.9948,-2.56,5.33,319.0,18.76
2020,McLaren,17,8.26,8.62,2.57,3.64,0.1531,0.5575,-0.35,4.13,202.0,11.88
2020,Alpine/Renault,17,8.82,8.94,2.58,2.99,0.3506,0.1677,-0.12,3.19,181.0,10.65
2020,Aston Martin/Racing Point/Force India,17,8.24,9.21,3.7,4.44,0.2876,0.263,-0.97,4.9,210.0,12.35
2020,Ferrari,17,10.26,10.71,2.46,4.53,0.3339,0.1903,-0.44,4.37,131.0,7.71
2020,RB/AlphaTauri/Toro Rosso,17,11.12,10.71,2.44,2.48,0.4267,0.0876,0.41,2.64,107.0,6.29
2020,Sauber/Alfa Romeo,17,16.76,13.85,2.43,2.07,-0.379,0.1335,2.91,3.75,8.0,0.47
