Team,Season,Key,SponsorName,Industry,Retained,Tenure,LeftCensored,TeamSponsorCount,MeanRaceFinishPos,MeanQualifyingPos,QualRaceCorrelation,PositionChange_Std,PointsPerRace,LogTenure,PredStability,SeasonCentered
Alpine/Renault,2018,renault,Renault,Automotive,0,1,1,30,11.07,10.57,0.7138,2.16,5.81,0.0,-2.16,-3
Alpine/Renault,2018,castrol,Castrol,Energy,1,1,1,30,11.07,10.57,0.7138,2.16,5.81,0.0,-2.16,-3
Alpine/Renault,2018,infiniti,Infiniti,Automotive,1,1,1,30,11.07,10.57,0.7138,2.16,5.81,0.0,-2.16,-3
Alpine/Renault,2018,rcibankandservices,RCI Bank and Services,Financial Services,0,1,1,30,11.07,10.57,0.7138,2.16,5.81,0.0,-2.16,-3
Alpine/Renault,2018,estrellagalicia,Estrella Galicia,Food & Beverage,0,1,1,30,11.07,10.57,0.7138,2.16,5.81,0.0,-2.16,-3
Alpine/Renault,2018,mapfre,Mapfre,Financial Services,1,1,1,30,11.07,10.57,0.7138,2.16,5.81,0.0,-2.16,-3
Alpine/Renault,2018,microsoft,Microsoft,Technology,0,1,1,30,11.07,10.57,0.7138,2.16,5.81,0.0,-2.16,-3
Alpine/Renault,2018,eurodatacar,Eurodatacar,Technology,1,1,1,30,11.07,10.57,0.7138,2.16,5.81,0.0,-2.16,-3
Alpine/Renault,2018,bellross,Bell & Ross,Luxury Watches,1,1,1,30,11.07,10.57,0.7138,2.16,5.81,0.0,-2.16,-3
Alpine/Renault,2018,bpultimate,BP Ultimate,Energy,1,1,1,30,11.07,10.57,0.7138,2.16,5.81,0.0,-2.16,-3
Alpine/Renault,2018,tmall,Tmall,Technology,1,1,1,30,11.07,10.57,0.7138,2.16,5.81,0.0,-2.16,-3
Alpine/Renault,2018,laliga,LaLiga,Media & Entertainment,0,1,1,30,11.07,10.57,0.7138,2.16,5.81,0.0,-2.16,-3
Alpine/Renault,2018,geniicapital,Genii,Financial Services,1,1,1,30,11.07,10.57,0.7138,2.16,5.81,0.0,-2.16,-3
Alpine/Renault,2018,3dsystems,3D Systems,Technology,1,1,1,30,11.07,10.57,0.7138,2.16,5.81,0.0,-2.16,-3
Alpine/Renault,2018,alpinestars,Alpinestars,Apparel & Sportswear,1,1,1,30,11.07,10.57,0.7138,2.16,5.81,0.0,-2.16,-3
Alpine/Renault,2018,athleticpropulsionlabs,Athletic Propulsion Labs,Apparel & Sportswear,0,1,1,30,11.07,10.57,0.7138,2.16,5.81,0.0,-2.16,-3
Alpine/Renault,2018,boeing,Boeing,Industrial & Aerospace,1,1,1,30,11.07,10.57,0.7138,2.16,5.81,0.0,-2.16,-3
Alpine/Renault,2018,breton,Breton,Industrial & Aerospace,1,1,1,30,11.07,10.57,0.7138,2.16,5.81,0.0,-2.16,-3
Alpine/Renault,2018,elysium,Elysium,Technology,1,1,1,30,11.07,10.57,0.7138,2.16,5.81,0.0,-2.16,-3
Alpine/Renault,2018,gfmachiningsolutions,GF Machining Solutions,Industrial & Aerospace,0,1,1,30,11.07,10.57,0.7138,2.16,5.81,0.0,-2.16,-3
Alpine/Renault,2018,goodwillprivatejets,Goodwill Private Jets,"Travel, Hospitality & Logistics",0,1,1,30,11.07,10.57,0.7138,2.16,5.81,0.0,-2.16,-3
Alpine/Renault,2018,hechter,Hechter,Apparel & Sportswear,0,1,1,30,11.07,10.57,0.7138,2.16,5.81,0.0,-2.16,-3
Alpine/Renault,2018,ixell,Ixell,Automotive,0,1,1,30,11.07,10.57,0.7138,2.16,5.81,0.0,-2.16,-3
Alpine/Renault,2018,lecoqsportif,Le Coq Sportif,Apparel & Sportswear,1,1,1,30,11.07,10.57,0.7138,2.16,5.81,0.0,-2.16,-3
Alpine/Renault,2018,matrix,Matrix,Technology,0,1,1,30,11.07,10.57,0.7138,2.16,5.81,0.0,-2.16,-3
Alpine/Renault,2018,oz,OZ,Automotive,0,1,1,30,11.07,10.57,0.7138,2.16,5.81,0.0,-2.16,-3
Alpine/Renault,2018,perkinelmer,PerkinElmer,Other,0,1,1,30,11.07,10.57,0.7138,2.16,5.81,0.0,-2.16,-3
Alpine/Renault,2018,pirelli,Pirelli,Automotive,1,1,1,30,11.07,10.57,0.7138,2.16,5.81,0.0,-2.16,-3
Alpine/Renault,2018,siemens,Siemens,Industrial & Aerospace,1,1,1,30,11.07,10.57,0.7138,2.16,5.81,0.0,-2.16,-3
Alpine/Renault,2018,yxlon,YXLON,Industrial & Aerospace,0,1,1,30,11.07,10.57,0.7138,2.16,5.81,0.0,-2.16,-3
Alpine/Renault,2019,castrol,Castrol,Energy,1,2,1,20,11.98,10.76,0.61,3.11,4.33,0.6931471805599453,-3.11,-2
Alpine/Renault,2019,infiniti,Infiniti,Automotive,1,2,1,20,11.98,10.76,0.61,3.11,4.33,0.6931471805599453,-3.11,-2
Alpine/Renault,2019,rci,RCI,Financial Services,1,1,0,20,11.98,10.76,0.61,3.11,4.33,0.0,-3.11,-2
Alpine/Renault,2019,mapfre,Mapfre,Financial Services,1,2,1,20,11.98,10.76,0.61,3.11,4.33,0.6931471805599453,-3.11,-2
Alpine/Renault,2019,bpultimate,BP Ultimate,Energy,1,2,1,20,11.98,10.76,0.61,3.11,4.33,0.6931471805599453,-3.11,-2
Alpine/Renault,2019,eurodatacar,Euro DataCar,Technology,1,2,1,20,11.98,10.76,0.61,3.11,4.33,0.6931471805599453,-3.11,-2
Alpine/Renault,2019,bellross,Bell & Ross,Luxury Watches,1,2,1,20,11.98,10.76,0.61,3.11,4.33,0.6931471805599453,-3.11,-2
Alpine/Renault,2019,tmall,Tmall,Technology,1,2,1,20,11.98,10.76,0.61,3.11,4.33,0.6931471805599453,-3.11,-2
Alpine/Renault,2019,geniicapital,Genii,Financial Services,1,2,1,20,11.98,10.76,0.61,3.11,4.33,0.6931471805599453,-3.11,-2
Alpine/Renault,2019,3dsystems,3D Systems,Technology,1,2,1,20,11.98,10.76,0.61,3.11,4.33,0.6931471805599453,-3.11,-2
Alpine/Renault,2019,boeing,Boeing,Industrial & Aerospace,1,2,1,20,11.98,10.76,0.61,3.11,4.33,0.6931471805599453,-3.11,-2
Alpine/Renault,2019,breton,Breton,Industrial & Aerospace,1,2,1,20,11.98,10.76,0.61,3.11,4.33,0.6931471805599453,-3.11,-2
