Team,Season,SponsorName,SponsorIndustry,OriginalSponsorName,CorrectionID
Ferrari,2018,Shell,Energy/Oil,Shell,
Ferrari,2018,Ray Ban,Fashion,Ray Ban,
Ferrari,2018,Alfa Romeo,Automotive,Alfa Romeo,
Ferrari,2018,Kaspersky Lab,Cybersecurity,Kaspersky Lab,
Ferrari,2018,UPS,Logistics,UPS,
Ferrari,2018,Lenovo,Technology,Lenovo,
Ferrari,2018,Weichai,Industrial,Weichai,
Ferrari,2018,Hublot,Luxury Watches,Hublot,
Ferrari,2018,Mahle,Automotive,Mahle,
Ferrari,2018,OMR,Media,OMR,
Ferrari,2018,AMD,Technology,AMD,
Ferrari,2018,Singha,Beverages/Food,Singha,
Ferrari,2018,Pirelli,Automotive,Pirelli,
Ferrari,2018,Puma Swisse,Health/Supplements,Puma Swisse,
Ferrari,2018,Experis,Staffing,Experis,
Ferrari,2018,SKF,Industrial,SKF,
Ferrari,2018,Magneti Marelli,Automotive,Magneti Marelli,
Ferrari,2018,NGK,Automotive,NGK,
Ferrari,2018,Brembo,Automotive,Brembo,
Ferrari,2018,Riedel,Technology,Riedel,
Ferrari,2018,Iveco,Automotive,Iveco,
Ferrari,2018,Bell,Automotive,Bell,
Ferrari,2018,Oz,Automotive,Oz,
Ferrari,2018,Honeywell,Industrial,Honeywell,
Ferrari,2018,Veuve Clicquot,Beverages/Food,Veuve Clicquot,
Aston Martin,2018,Sahara,Finance,Sahara,
Aston Martin,2018,BWT,Water Technology,BWT,
Aston Martin,2018,Claro,Telecom,Claro,
Aston Martin,2018,Duo Group,Industrial,Duo Group,
Aston Martin,2018,Hype Energy,Beverages/Food,Hype Energy,
Aston Martin,2018,Infinitum,Telecom,Infinitum,
Aston Martin,2018,Kingfisher,Beverages/Food,Kingfisher,
Aston Martin,2018,Magnesium Mineralised Water,Beverages/Food,Magnesium Mineralised Water,
Aston Martin,2018,NEC Corporation,Technology,NEC Corporation,
Aston Martin,2018,Pemex,Energy/Oil,Pemex,
Aston Martin,2018,Telcel,Telecom,Telcel,
Aston Martin,2018,Telmex,Telecom,Telmex,
Aston Martin,2018,Vonhaucke,Industrial,Vonhaucke,
Aston Martin,2018,Adaptavist,Technology,Adaptavist,
Aston Martin,2018,Alpinestars,Apparel,Alpinestars,
Aston Martin,2018,Koni,Automotive,Koni,
