Team,Season,SponsorName,SponsorIndustry,OriginalSponsorName,CorrectionID,Industry,Key
Alpine/Renault,2018,Renault,Automotive,Renault,,Automotive,renault
Alpine/Renault,2018,Castrol,Energy/Oil,Castrol,,Energy,castrol
Alpine/Renault,2018,Infiniti,Automotive,Infiniti,,Automotive,infiniti
Alpine/Renault,2018,RCI Bank and Services,Finance,RCI Bank and Services,,Financial Services,rcibankandservices
Alpine/Renault,2018,Estrella Galicia,Beverages/Food,Estrella Galicia,,Food & Beverage,estrellagalicia
Alpine/Renault,2018,Mapfre,Insurance,Mapfre,,Financial Services,mapfre
Alpine/Renault,2018,Microsoft,Technology,Microsoft,,Technology,microsoft
Alpine/Renault,2018,Eurodatacar,Technology,Eurodatacar,,Technology,eurodatacar
Alpine/Renault,2018,Bell & Ross,Luxury Watches,Bell & Ross,,Luxury Watches,bellross
Alpine/Renault,2018,BP Ultimate,Energy/Oil,BP Ultimate,,Energy,bpultimate
Alpine/Renault,2018,Tmall,E-commerce,Tmall,,Technology,tmall
Alpine/Renault,2018,LaLiga,Sports/League,LaLiga,,Media & Entertainment,laliga
Alpine/Renault,2018,Genii,Investment,Genii,,Financial Services,geniicapital
Alpine/Renault,2018,3D Systems,Technology,3D Systems,,Technology,3dsystems
Alpine/Renault,2018,Alpinestars,Apparel,Alpinestars,,Apparel & Sportswear,alpinestars
Alpine/Renault,2018,Athletic Propulsion Labs,Apparel,Athletic Propulsion Labs,,Apparel & Sportswear,athleticpropulsionlabs
Alpine/Renault,2018,Boeing,Aerospace,Boeing,,Industrial & Aerospace,boeing
Alpine/Renault,2018,Breton,Industrial,Breton,,Industrial & Aerospace,breton
Alpine/Renault,2018,Elysium,Technology,Elysium,,Technology,elysium
Alpine/Renault,2018,GF Machining Solutions,Industrial,GF Machining Solutions,,Industrial & Aerospace,gfmachiningsolutions
Alpine/Renault,2018,Goodwill Private Jets,Aviation,Goodwill Private Jets,,"Travel, Hospitality & Logistics",goodwillprivatejets
Alpine/Renault,2018,Hechter,Apparel,Hechter,,Apparel & Sportswear,hechter
Alpine/Renault,2018,Ixell,Automotive,Ixell,,Automotive,ixell
Alpine/Renault,2018,Le Coq Sportif,Apparel,Le Coq Sportif,,Apparel & Sportswear,lecoqsportif
Alpine/Renault,2018,Matrix,Technology,Matrix,,Technology,matrix
Alpine/Renault,2018,OZ,Automotive,OZ,,Automotive,oz
Alpine/Renault,2018,PerkinElmer,Life Sciences,PerkinElmer,,Other,perkinelmer
Alpine/Renault,2018,Pirelli,Automotive,Pirelli,,Automotive,pirelli
Alpine/Renault,2018,Siemens,Industrial,Siemens,,Industrial & Aerospace,siemens
Alpine/Renault,2018,YXLON,Industrial,YXLON,,Industrial & Aerospace,yxlon
Aston Martin/Racing Point/Force India,2018,Sahara,Finance,Sahara,,Financial Services,sahara
Aston Martin/Racing Point/Force India,2018,BWT,Water Technology,BWT,,Industrial & Aerospace,bwt
Aston Martin/Racing Point/Force India,2018,Claro,Telecom,Claro,,Telecom,claro
Aston Martin/Racing Point/Force India,2018,Duo Group,Industrial,Duo Group,,Industrial & Aerospace,duogroup
Aston Martin/Racing Point/Force India,2018,Hype Energy,Beverages/Food,Hype Energy,,Food & Beverage,hypeenergy
Aston Martin/Racing Point/Force India,2018,Infinitum,Telecom,Infinitum,,Telecom,infinitum
Aston Martin/Racing Point/Force India,2018,Kingfisher,Beverages/Food,Kingfisher,,Food & Beverage,kingfisher
Aston Martin/Racing Point/Force India,2018,Magnesium Mineralised Water,Beverages/Food,Magnesium Mineralised Water,,Food & Beverage,magnesium
Aston Martin/Racing Point/Force India,2018,NEC Corporation,Technology,NEC Corporation,,Technology,neccorporation
Aston Martin/Racing Point/Force India,2018,Pemex,Energy/Oil,Pemex,,Energy,pemex
Aston Martin/Racing Point/Force India,2018,Telcel,Telecom,Telcel,,Telecom,telcel
Aston Martin/Racing Point/Force India,2018,Telmex,Telecom,Telmex,,Telecom,telmex
Aston Martin/Racing Point/Force India,2018,Vonhaucke,Industrial,Vonhaucke,,Industrial & Aerospace,vonhaucke
Aston Martin/Racing Point/Force India,2018,Adaptavist,Technology,Adaptavist,,Technology,adaptavist
Aston Martin/Racing Point/Force India,2018,Alpinestars,Apparel,Alpinestars,,Apparel & Sportswear,alpinestars
Aston Martin/Racing Point/Force India,2018,Koni,Automotive,Koni,,Automotive,koni
Aston Martin/Racing Point/Force India,2018,Orange Bus,Technology,Orange Bus,,Technology,orangebus
Aston Martin/Racing Point/Force India,2018,Pirelli,Automotive,Pirelli,,Automotive,pirelli
Aston Martin/Racing Point/Force India,2018,Ravenol,Energy/Oil,Ravenol,,Energy,ravenol
Aston Martin/Racing Point/Force India,2018,Univa,Technology,Univa,,Technology,univa
Aston Martin/Racing Point/Force India,2018,3D Systems,Technology,3D Systems,,Technology,3dsystems
Aston Martin/Racing Point/Force India,2018,Apsley,Consumer Goods,Apsley,,Consumer Goods & Retail,apsley
Aston Martin/Racing Point/Force India,2018,Condeco,Technology,Condeco,,Technology,condeco
Aston Martin/Racing Point/Force India,2018,Branded Designs,Marketing,Branded Designs,,Media & Entertainment,brandeddesigns
Aston Martin/Racing Point/Force India,2018,Farah,Apparel,Farah,,Apparel & Sportswear,farah
Aston Martin/Racing Point/Force India,2018,Gtechniq,Automotive,Gtechniq,,Automotive,gtechniq
Aston Martin/Racing Point/Force India,2018,ITEC,Technology,ITEC,,Technology,itec
Aston Martin/Racing Point/Force India,2018,SAS Global,Industrial,SAS Global,,Industrial & Aerospace,sasglobal
Aston Martin/Racing Point/Force India,2018,Schuberth,Automotive,Schuberth,,Automotive,schuberth
Aston Martin/Racing Point/Force India,2018,STL,Technology,STL,,Technology,stl
Aston Martin/Racing Point/Force India,2018,Still,Industrial,Still,,Industrial & Aerospace,still
Aston Martin/Racing Point/Force India,2018,The Roastery,Beverages/Food,The Roastery,,Food & Beverage,theroastery
Aston Martin/Racing Point/Force India,2018,UPS Direct,Logistics,UPS Direct,,"Travel, Hospitality & Logistics",upsdirect
Aston Martin/Racing Point/Force India,2018,Voip Unlimited,Telecom,Voip Unlimited,,Telecom,voipunlimited
Aston Martin/Racing Point/Force India,2018,WyndyMilla,Consumer Goods,WyndyMilla,,Consumer Goods & Retail,wyndymilla
Ferrari,2018,Shell,Energy/Oil,Shell,,Energy,shell
Ferrari,2018,Ray Ban,Fashion,Ray Ban,,Luxury & Fashion,rayban
Ferrari,2018,Alfa Romeo,Automotive,Alfa Romeo,,Automotive,alfaromeo
Ferrari,2018,Kaspersky Lab,Cybersecurity,Kaspersky Lab,,Cybersecurity,kaspersky
Ferrari,2018,UPS,Logistics,UPS,,"Travel, Hospitality & Logistics",ups
Ferrari,2018,Lenovo,Technology,Lenovo,,Technology,lenovo
Ferrari,2018,Weichai,Industrial,Weichai,,Industrial & Aerospace,weichai
Ferrari,2018,Hublot,Luxury Watches,Hublot,,Luxury Watches,hublot
Ferrari,2018,Mahle,Automotive,Mahle,,Automotive,mahle
Ferrari,2018,OMR,Media,OMR,,Media & Entertainment,omr
Ferrari,2018,AMD,Technology,AMD,,Technology,amd
Ferrari,2018,Singha,Beverages/Food,Singha,,Food & Beverage,singha
Ferrari,2018,Pirelli,Automotive,Pirelli,,Automotive,pirelli
Ferrari,2018,Puma Swisse,Health/Supplements,Puma Swisse,,Food & Beverage,pumaswisse
Ferrari,2018,Experis,Staffing,Experis,,Business Services,experis
Ferrari,2018,SKF,Industrial,SKF,,Industrial & Aerospace,skf
Ferrari,2018,Magneti Marelli,Automotive,Magneti Marelli,,Automotive,marelli
Ferrari,2018,NGK,Automotive,NGK,,Automotive,ngk
Ferrari,2018,Brembo,Automotive,Brembo,,Automotive,brembo
Ferrari,2018,Riedel,Technology,Riedel,,Technology,riedel
Ferrari,2018,Iveco,Automotive,Iveco,,Automotive,iveco
Ferrari,2018,Bell,Automotive,Bell,,Automotive,bell
Ferrari,2018,Oz,Automotive,Oz,,Automotive,oz
Ferrari,2018,Honeywell,Industrial,Honeywell,,Industrial & Aerospace,honeywell
Ferrari,2018,Veuve Clicquot,Beverages/Food,Veuve Clicquot,,Food & Beverage,veuveclicquot
Haas,2018,Haas Automation,Industrial,Haas Automation,,Industrial & Aerospace,haasautomation
Haas,2018,Alpinestars,Apparel,Alpinestars,,Apparel & Sportswear,alpinestars
Haas,2018,Pirelli,Automotive,Pirelli,,Automotive,pirelli
Haas,2018,Jack & Jones,Apparel,Jack & Jones,,Apparel & Sportswear,jackjones
Haas,2018,Richard Mille,Luxury Watches,Richard Mille,,Luxury Watches,richardmille
Haas,2018,Wind Shear,Aerospace,Wind Shear,,Industrial & Aerospace,windshear
Haas,2018,Peak,Automotive,,S005,Apparel & Sportswear,peak
Haas,2018,BlueDEF,Automotive,,S006,Automotive,bluedef
McLaren,2018,Dell Technologies,Technology,Dell Technologies,,Technology,delltechnologies
McLaren,2018,NTT Communications,Telecom,NTT Communications,,Telecom,nttcommunications
McLaren,2018,Petrobras,Energy/Oil,Petrobras,,Energy,petrobras
McLaren,2018,Logitech,Technology,Logitech,,Technology,logitech
McLaren,2018,Airgain,Technology,Airgain,,Technology,airgain
McLaren,2018,Pirelli,Automotive,Pirelli,,Automotive,pirelli
McLaren,2018,SAP,Technology,SAP,,Technology,sap
McLaren,2018,Akebono,Automotive,Akebono,,Automotive,akebono
