Season,RoundNumber,RaceName,Team,Driver,QualifyingPos,RaceFinishPos,RacePoints,TeamStd
2025,1,Australian Grand Prix,McLaren,NOR,1.0,1.0,25.0,McLaren
2025,1,Australian Grand Prix,McLaren,PIA,2.0,9.0,2.0,McLaren
2025,1,Australian Grand Prix,Red Bull Racing,VER,3.0,2.0,18.0,Red Bull Racing
2025,1,Australian Grand Prix,Mercedes,RUS,4.0,3.0,15.0,Mercedes
2025,1,Australian Grand Prix,Racing Bulls,TSU,5.0,12.0,0.0,RB/AlphaTauri/Toro Rosso
2025,1,Australian Grand Prix,Williams,ALB,6.0,5.0,10.0,Williams
2025,1,Australian Grand Prix,Ferrari,LEC,7.0,8.0,4.0,Ferrari
2025,1,Australian Grand Prix,Ferrari,HAM,8.0,10.0,1.0,Ferrari
2025,1,Australian Grand Prix,Alpine,GAS,9.0,11.0,0.0,Alpine/Renault
2025,1,Australian Grand Prix,Williams,SAI,10.0,18.0,0.0,Williams
2025,1,Australian Grand Prix,Racing Bulls,HAD,11.0,20.0,0.0,RB/AlphaTauri/Toro Rosso
2025,1,Australian Grand Prix,Aston Martin,ALO,12.0,17.0,0.0,Aston Martin/Racing Point/Force India
2025,1,Australian Grand Prix,Aston Martin,STR,13.0,6.0,8.0,Aston Martin/Racing Point/Force India
2025,1,Australian Grand Prix,Alpine,DOO,14.0,19.0,0.0,Alpine/Renault
2025,1,Australian Grand Prix,Kick Sauber,BOR,15.0,16.0,0.0,Sauber/Alfa Romeo
2025,1,Australian Grand Prix,Mercedes,ANT,16.0,4.0,12.0,Mercedes
2025,1,Australian Grand Prix,Kick Sauber,HUL,17.0,7.0,6.0,Sauber/Alfa Romeo
2025,1,Australian Grand Prix,Red Bull Racing,LAW,18.0,15.0,0.0,Red Bull Racing
2025,1,Australian Grand Prix,Haas F1 Team,OCO,19.0,13.0,0.0,Haas
2025,1,Australian Grand Prix,Haas F1 Team,BEA,20.0,14.0,0.0,Haas
2025,2,Chinese Grand Prix,McLaren,PIA,1.0,1.0,25.0,McLaren
2025,2,Chinese Grand Prix,Mercedes,RUS,2.0,3.0,15.0,Mercedes
2025,2,Chinese Grand Prix,McLaren,NOR,3.0,2.0,18.0,McLaren
