Season,RoundNumber,RaceName,Team,Driver,QualifyingPos,RaceFinishPos,RacePoints,TeamStd
2018,1,Australian Grand Prix,Mercedes,HAM,1.0,2.0,18.0,Mercedes
2018,1,Australian Grand Prix,Ferrari,RAI,2.0,3.0,15.0,Ferrari
2018,1,Australian Grand Prix,Ferrari,VET,3.0,1.0,25.0,Ferrari
2018,1,Australian Grand Prix,Red Bull Racing,VER,4.0,6.0,8.0,Red Bull Racing
2018,1,Australian Grand Prix,Red Bull Racing,RIC,5.0,4.0,12.0,Red Bull Racing
2018,1,Australian Grand Prix,Haas F1 Team,MAG,6.0,17.0,0.0,Haas
2018,1,Australian Grand Prix,Haas F1 Team,GRO,7.0,16.0,0.0,Haas
2018,1,Australian Grand Prix,Renault,HUL,8.0,7.0,6.0,Alpine/Renault
2018,1,Australian Grand Prix,Renault,SAI,9.0,10.0,1.0,Alpine/Renault
2018,1,Australian Grand Prix,Mercedes,BOT,10.0,8.0,4.0,Mercedes
2018,1,Australian Grand Prix,McLaren,ALO,11.0,5.0,10.0,McLaren
2018,1,Australian Grand Prix,McLaren,VAN,12.0,9.0,2.0,McLaren
2018,1,Australian Grand Prix,Force India,PER,13.0,11.0,0.0,Aston Martin/Racing Point/Force India
2018,1,Australian Grand Prix,Williams,STR,14.0,14.0,0.0,Williams
2018,1,Australian Grand Prix,Force India,OCO,15.0,12.0,0.0,Aston Martin/Racing Point/Force India
2018,1,Australian Grand Prix,Toro Rosso,HAR,16.0,15.0,0.0,RB/AlphaTauri/Toro Rosso
2018,1,Australian Grand Prix,Sauber,ERI,17.0,19.0,0.0,Sauber/Alfa Romeo
2018,1,Australian Grand Prix,Sauber,LEC,18.0,13.0,0.0,Sauber/Alfa Romeo
2018,1,Australian Grand Prix,Williams,SIR,19.0,20.0,0.0,Williams
2018,1,Australian Grand Prix,Toro Rosso,GAS,20.0,18.0,0.0,RB/AlphaTauri/Toro Rosso
2018,2,Bahrain Grand Prix,Ferrari,VET,1.0,1.0,25.0,Ferrari
2018,2,Bahrain Grand Prix,Ferrari,RAI,2.0,18.0,0.0,Ferrari
2018,2,Bahrain Grand Prix,Mercedes,BOT,3.0,2.0,18.0,Mercedes
2018,2,Bahrain Grand Prix,Mercedes,HAM,4.0,3.0,15.0,Mercedes
2018,2,Bahrain Grand Prix,Red Bull Racing,RIC,5.0,20.0,0.0,Red Bull Racing
2018,2,Bahrain Grand Prix,Toro Rosso,GAS,6.0,4.0,12.0,RB/AlphaTauri/Toro Rosso
2018,2,Bahrain Grand Prix,Haas F1 Team,MAG,7.0,5.0,10.0,Haas
2018,2,Bahrain Grand Prix,Renault,HUL,8.0,6.0,8.0,Alpine/Renault
2018,2,Bahrain Grand Prix,Force India,OCO,9.0,10.0,1.0,Aston Martin/Racing Point/Force India
2018,2,Bahrain Grand Prix,Renault,SAI,10.0,11.0,0.0,Alpine/Renault
2018,2,Bahrain Grand Prix,Toro Rosso,HAR,11.0,17.0,0.0,RB/AlphaTauri/Toro Rosso
2018,2,Bahrain Grand Prix,Force India,PER,12.0,16.0,0.0,Aston Martin/Racing Point/Force India
2018,2,Bahrain Grand Prix,McLaren,ALO,13.0,7.0,6.0,McLaren
2018,2,Bahrain Grand Prix,McLaren,VAN,14.0,8.0,4.0,McLaren
2018,2,Bahrain Grand Prix,Red Bull Racing,VER,15.0,19.0,0.0,Red Bull Racing
2018,2,Bahrain Grand Prix,Haas F1 Team,GRO,16.0,13.0,0.0,Haas
2018,2,Bahrain Grand Prix,Sauber,ERI,17.0,9.0,2.0,Sauber/Alfa Romeo
2018,2,Bahrain Grand Prix,Williams,SIR,18.0,15.0,0.0,Williams
2018,2,Bahrain Grand Prix,Sauber,LEC,19.0,12.0,0.0,Sauber/Alfa Romeo
2018,2,Bahrain Grand Prix,Williams,STR,20.0,14.0,0.0,Williams
2018,3,Chinese Grand Prix,Ferrari,VET,1.0,8.0,4.0,Ferrari
2018,3,Chinese Grand Prix,Ferrari,RAI,2.0,3.0,15.0,Ferrari
2018,3,Chinese Grand Prix,Mercedes,BOT,3.0,2.0,18.0,Mercedes
2018,3,Chinese Grand Prix,Mercedes,HAM,4.0,4.0,12.0,Mercedes
2018,3,Chinese Grand Prix,Red Bull Racing,VER,5.0,5.0,10.0,Red Bull Racing
2018,3,Chinese Grand Prix,Red Bull Racing,RIC,6.0,1.0,25.0,Red Bull Racing
2018,3,Chinese Grand Prix,Renault,HUL,7.0,6.0,8.0,Alpine/Renault
2018,3,Chinese Grand Prix,Force India,PER,8.0,12.0,0.0,Aston Martin/Racing Point/Force India
2018,3,Chinese Grand Prix,Renault,SAI,9.0,9.0,2.0,Alpine/Renault
2018,3,Chinese Grand Prix,Haas F1 Team,GRO,10.0,17.0,0.0,Haas
2018,3,Chinese Grand Prix,Haas F1 Team,MAG,11.0,10.0,1.0,Haas
2018,3,Chinese Grand Prix,Force India,OCO,12.0,11.0,0.0,Aston Martin/Racing Point/Force India
2018,3,Chinese Grand Prix,McLaren,ALO,13.0,7.0,6.0,McLaren
2018,3,Chinese Grand Prix,McLaren,VAN,14.0,13.0,0.0,McLaren
2018,3,Chinese Grand Prix,Toro Rosso,HAR,15.0,20.0,0.0,RB/AlphaTauri/Toro Rosso
