Team,Season,SponsorName,SponsorIndustry
Ferrari,2018,Shell,Energy/Oil
Ferrari,2018,Ray Ban,Fashion
Ferrari,2018,Alfa Romeo,Automotive
Ferrari,2018,Kaspersky Lab,Cybersecurity
Ferrari,2018,UPS,Logistics
Ferrari,2018,Lenovo,Technology
Ferrari,2018,Weichai,Industrial
Ferrari,2018,Hublot,Luxury Watches
Ferrari,2018,Mahle,Automotive
Ferrari,2018,OMR,Media
Ferrari,2018,AMD,Technology
Ferrari,2018,Singha,Beverages/Food
Ferrari,2018,Pirelli,Automotive
Ferrari,2018,Puma Swisse,Health/Supplements
Ferrari,2018,Experis,Staffing
Ferrari,2018,SKF,Industrial
Ferrari,2018,Magneti Marelli,Automotive
Ferrari,2018,NGK,Automotive
Ferrari,2018,Brembo,Automotive
Ferrari,2018,Riedel,Technology
Ferrari,2018,Iveco,Automotive
Ferrari,2018,Bell,Automotive
Ferrari,2018,Oz,Automotive
Ferrari,2018,Honeywell,Industrial
Ferrari,2018,Veuve Clicquot,Beverages/Food
Force India,2018,Sahara,Finance
Force India,2018,BWT,Water Technology
Force India,2018,Claro,Telecom
Force India,2018,Duo Group,Industrial
Force India,2018,Hype Energy,Beverages/Food
Force India,2018,Infinitum,Telecom
Force India,2018,Kingfisher,Beverages/Food
Force India,2018,Magnesium Mineralised Water,Beverages/Food
Force India,2018,NEC Corporation,Technology
Force India,2018,Pemex,Energy/Oil
Force India,2018,Telcel,Telecom
Force India,2018,Telmex,Telecom
Force India,2018,Vonhaucke,Industrial
Force India,2018,Adaptavist,Technology
Force India,2018,Alpinestars,Apparel
Force India,2018,Koni,Automotive
Force India,2018,Orange Bus,Technology
Force India,2018,Pirelli,Automotive
Force India,2018,Ravenol,Energy/Oil
Force India,2018,Univa,Technology
Force India,2018,3D Systems,Technology
Force India,2018,Apsley,Consumer Goods
Force India,2018,Condeco,Technology
Force India,2018,Branded Designs,Marketing
Force India,2018,Farah,Apparel
Force India,2018,Gtechniq,Automotive
Force India,2018,ITEC,Technology
Force India,2018,SAS Global,Industrial
Force India,2018,Schuberth,Automotive
Force India,2018,STL,Technology
Force India,2018,Still,Industrial
Force India,2018,The Roastery,Beverages/Food
Force India,2018,UPS Direct,Logistics
Force India,2018,Voip Unlimited,Telecom
Force India,2018,WyndyMilla,Consumer Goods
Haas,2018,Haas Automation,Industrial
Haas,2018,Alpinestars,Apparel
Haas,2018,Pirelli,Automotive
Haas,2018,Jack & Jones,Apparel
Haas,2018,Richard Mille,Luxury Watches
Haas,2018,Wind Shear,Aerospace
McLaren,2018,Dell Technologies,Technology
McLaren,2018,NTT Communications,Telecom
McLaren,2018,Petrobras,Energy/Oil
McLaren,2018,Logitech,Technology
McLaren,2018,Airgain,Technology
McLaren,2018,Pirelli,Automotive
McLaren,2018,SAP,Technology
McLaren,2018,Akebono,Automotive
McLaren,2018,Chandon,Beverages/Food
McLaren,2018,Richard Mille,Luxury Watches
McLaren,2018,Kimoa,Apparel
McLaren,2018,Hilton,Hospitality
McLaren,2018,Norton Rose Fulbright,Legal
McLaren,2018,CNBC,Media
McLaren,2018,Stratasys,Technology
McLaren,2018,Enkei,Automotive
McLaren,2018,Mazak Machine Tools,Industrial
McLaren,2018,Kenwood,Consumer Electronics
McLaren,2018,TechnoGym,Fitness
McLaren,2018,Volvo Trucks,Automotive
McLaren,2018,Sparco,Automotive
McLaren,2018,AkzoNobel-Sikkens,Industrial
McLaren,2018,LAT_56,Technology
McLaren,2018,Hookit,Technology
McLaren,2018,Calsonic Kansei,Automotive
Mercedes,2018,AMG Petronas,Energy/Oil
Mercedes,2018,UBS,Finance
Mercedes,2018,Qualcomm,Technology
Mercedes,2018,Epson,Technology
Mercedes,2018,Bose,Consumer Electronics
Mercedes,2018,Tommy Hilfiger,Fashion
Mercedes,2018,IWC Schaffhausen,Luxury Watches
Mercedes,2018,Wihuri,Industrial
Mercedes,2018,Monster Energy,Beverages/Food
Mercedes,2018,Pure Storage,Technology
Mercedes,2018,TIBCO,Technology
Mercedes,2018,Starwood,Hospitality
Mercedes,2018,Puma,Apparel
Mercedes,2018,ebmpapst,Industrial
Mercedes,2018,Tata Communications,Telecom
Mercedes,2018,NetJets,Aviation
Mercedes,2018,DB Schenker,Logistics
Mercedes,2018,Rubrik,Cybersecurity
Mercedes,2018,OMP,Automotive
Mercedes,2018,Spies Hecker,Industrial
Mercedes,2018,Assos,Apparel
Mercedes,2018,OZ Racing,Automotive
Mercedes,2018,Endless,Automotive
Mercedes,2018,Pirelli,Automotive
Red Bull Racing,2018,Aston Martin,Automotive
Red Bull Racing,2018,ExxonMobil,Energy/Oil
Red Bull Racing,2018,Tag Heuer,Luxury Watches
Red Bull Racing,2018,Puma,Apparel
Red Bull Racing,2018,Citrix,Technology
Red Bull Racing,2018,Rauch,Beverages/Food
Red Bull Racing,2018,Hisense,Consumer Electronics
Red Bull Racing,2018,AT&T,Telecom
Red Bull Racing,2018,Siemens,Industrial
Red Bull Racing,2018,IBM Spectrum,Technology
Red Bull Racing,2018,Hexagon,Technology
Red Bull Racing,2018,DMG Mori,Industrial
Red Bull Racing,2018,PWR,Automotive
Red Bull Racing,2018,Ansys,Technology
Red Bull Racing,2018,Pirelli,Automotive
Red Bull Racing,2018,Sabelt,Automotive
Red Bull Racing,2018,Flir,Technology
Red Bull Racing,2018,OZ Racing,Automotive
Red Bull Racing,2018,HPE Simplivity,Technology
Red Bull Racing,2018,Earin,Consumer Electronics
Red Bull Racing,2018,Mitie,Services
Renault Sport F1,2018,Renault,Automotive
Renault Sport F1,2018,Castrol,Energy/Oil
Renault Sport F1,2018,Infiniti,Automotive
Renault Sport F1,2018,RCI Bank and Services,Finance
Renault Sport F1,2018,Estrella Galicia,Beverages/Food
Renault Sport F1,2018,Mapfre,Insurance
Renault Sport F1,2018,Microsoft,Technology
Renault Sport F1,2018,Eurodatacar,Technology
Renault Sport F1,2018,Bell & Ross,Luxury Watches
Renault Sport F1,2018,BP Ultimate,Energy/Oil
Renault Sport F1,2018,Tmall,E-commerce
Renault Sport F1,2018,LaLiga,Sports/League
Renault Sport F1,2018,Genii,Investment
Renault Sport F1,2018,3D Systems,Technology
Renault Sport F1,2018,Alpinestars,Apparel
Renault Sport F1,2018,Athletic Propulsion Labs,Apparel
Renault Sport F1,2018,Boeing,Aerospace
Renault Sport F1,2018,Breton,Industrial
Renault Sport F1,2018,Elysium,Technology
Renault Sport F1,2018,GF Machining Solutions,Industrial
Renault Sport F1,2018,Goodwill Private Jets,Aviation
Renault Sport F1,2018,Hechter,Apparel
Renault Sport F1,2018,Ixell,Automotive
Renault Sport F1,2018,Le Coq Sportif,Apparel
Renault Sport F1,2018,Matrix,Technology
Renault Sport F1,2018,OZ,Automotive
Renault Sport F1,2018,PerkinElmer,Life Sciences
Renault Sport F1,2018,Pirelli,Automotive
Renault Sport F1,2018,Siemens,Industrial
Renault Sport F1,2018,YXLON,Industrial
Sauber,2018,Alfa Romeo,Automotive
Sauber,2018,Silanna,Technology
Sauber,2018,Carrera,Consumer Goods
Sauber,2018,Claro,Telecom
Sauber,2018,Richard Mille,Luxury Watches
Sauber,2018,Additive Industries,Industrial
Sauber,2018,Hewlett Packard Enterprises,Technology
Sauber,2018,Kappa,Apparel
Sauber,2018,Mitsubishi Electric,Industrial
Sauber,2018,OMP,Automotive
Sauber,2018,Pirelli,Automotive
Sauber,2018,Walter Meier,Industrial
Sauber,2018,Thomann Nutzfahrzeuge,Automotive
Sauber,2018,Brütsch/Rüegger,Industrial
Sauber,2018,Carbon-Connect,Industrial
Sauber,2018,Interroll,Industrial
Sauber,2018,MTO,Industrial
Sauber,2018,Riedel,Technology
Sauber,2018,Singapore Airlines,Aviation
Sauber,2018,Garage Italia,Automotive
Toro Rosso,2018,Red Bull,Beverages/Food
Toro Rosso,2018,Acronis,Cybersecurity
Toro Rosso,2018,Edifice Casio,Consumer Electronics
Toro Rosso,2018,Honda,Automotive
Toro Rosso,2018,Pirelli,Automotive
Toro Rosso,2018,Siemens,Industrial
Toro Rosso,2018,Riedel,Technology
Toro Rosso,2018,Gi Group,Staffing
Toro Rosso,2018,Hangar-7,Hospitality
Toro Rosso,2018,APP Tech,Technology
Williams,2018,Martini,Beverages/Food
Williams,2018,Rexona,Consumer Goods
Williams,2018,JCB,Industrial
Williams,2018,SMP Racing,Automotive
Williams,2018,Oris,Luxury Watches
Williams,2018,BT,Telecom
Williams,2018,Acronis,Cybersecurity
Williams,2018,Financial.org,Finance
Williams,2018,Bombardier,Aerospace
Williams,2018,Canada Life,Finance
Williams,2018,Pirelli,Automotive
Williams,2018,Symantec,Cybersecurity
Williams,2018,PPG,Industrial
Williams,2018,Alpinestars,Apparel
Alfa Romeo Racing,2019,Alfa Romeo,Automotive
Alfa Romeo Racing,2019,Adler,Industrial
Alfa Romeo Racing,2019,Carrera,Fashion
Alfa Romeo Racing,2019,Claro,Telecom
Alfa Romeo Racing,2019,Richard Mille,Luxury Watches
Alfa Romeo Racing,2019,Singha,Beverages/Food
Alfa Romeo Racing,2019,EGV,Other
Alfa Romeo Racing,2019,Globeair,Aviation
Alfa Romeo Racing,2019,HP,Technology
Alfa Romeo Racing,2019,Iveco,Automotive
Alfa Romeo Racing,2019,Mitsubishi,Industrial
Alfa Romeo Racing,2019,New Balance,Apparel
Alfa Romeo Racing,2019,Pirelli,Automotive
Alfa Romeo Racing,2019,Save the Children,Nonprofit
Alfa Romeo Racing,2019,Sparco,Automotive
Alfa Romeo Racing,2019,Walter Meier,Industrial
Alfa Romeo Racing,2019,3D Systems,Technology
Alfa Romeo Racing,2019,Brutsch-Ruegger,Industrial
Alfa Romeo Racing,2019,Carbon Connect,Industrial
Alfa Romeo Racing,2019,Interroll,Industrial
Alfa Romeo Racing,2019,Riedel,Technology
Alfa Romeo Racing,2019,Singapore Airlines,Aviation
Ferrari,2019,Phillip Morris International,Tobacco
Ferrari,2019,Shell,Energy/Oil
Ferrari,2019,Ray-Ban,Fashion
Ferrari,2019,Kaspersky,Cybersecurity
Ferrari,2019,UPS,Logistics
Ferrari,2019,Lenovo,Technology
Ferrari,2019,Weichei,Other
Ferrari,2019,Hublot,Luxury Watches
Ferrari,2019,MAHLE,Automotive
Ferrari,2019,OMR,Automotive
Ferrari,2019,AMD,Technology
Ferrari,2019,Pirelli,Automotive
Ferrari,2019,Puma,Apparel
Ferrari,2019,Eightcap,Finance
Ferrari,2019,Laszmoe,Other
Ferrari,2019,Infor,Technology
Ferrari,2019,Experis,Staffing
Ferrari,2019,SKF,Industrial
Ferrari,2019,Magneti-Marelli,Automotive
Ferrari,2019,NGK,Automotive
Ferrari,2019,Brembo,Automotive
Ferrari,2019,Riedel,Technology
Ferrari,2019,VistaJet,Aviation
Ferrari,2019,Iveco,Automotive
Haas,2019,Rich Energy,Beverages/Food
Haas,2019,Jack & Jones,Fashion
Haas,2019,Peak,Apparel
